basin_id,basin_name,huc,climate_zone,difficulty,m0_test_nse,m0_wall_s,m0_icall,m2_best_test_nse,m2_gain_vs_m0,m2_n_generations,m2_total_tokens,m2_total_wall_s,m2_decision_s
02246000,"N Fork Black Creek, FL",03,humid_warm,easy,0.7348,0.0,3420,0.7348,0.0,4,16058,2242.1,68.8
03574500,"Paint Rock River, AL",06,humid_warm,easy,0.7344,0.0,3060,0.7344,0.0,4,15123,2273.3,60.5
05495000,"Fox River, MO",07,humid_warm,easy,0.5711,0.0,3780,0.5754,0.0043,4,15753,1530.2,66.6
05595730,"Rayse Creek, IL",07,humid_warm,easy,0.8153,0.0,3600,0.8153,0.0,4,14305,1623.3,56.3
11482500,"Redwood Creek, CA",18,humid_warm,easy,0.6082,0.0,3240,0.675,0.0668,5,19929,2314.8,81.0
11532500,"Smith River, CA",18,mediterranean,easy,0.7586,0.0,3600,0.7589,0.0003,4,17473,2439.6,84.6
12025000,"Newaukum River, WA",17,mediterranean,easy,0.7573,0.0,3240,0.7602,0.0029,4,15872,2490.3,67.5
01543000,"Driftwood Branch, PA",02,humid_cold,medium,0.515,0.0,3240,0.515,0.0,4,14731,2883.8,60.1
02472500,"Bouie Creek, MS",03,humid_warm,medium,0.5643,0.0,3240,0.5714,0.0071,7,34681,4710.1,149.8
03049000,"Buffalo Creek, PA",05,humid_warm,medium,0.5253,0.0,3600,0.5253,0.0,4,15275,2491.1,62.8
06885500,"Black Vermillion, KS",10,semiarid,medium,0.6034,0.0,10800,0.6034,0.0,4,14269,2212.4,53.8
07197000,"Baron Fork, OK",11,humid_warm,medium,0.4929,0.0,3780,0.5236,0.0306,5,21970,3008.2,95.8
01169000,"North River, MA",01,humid_cold,hard,0.2772,0.0,3780,0.2793,0.002,4,15129,2421.1,61.9
03439000,"French Broad River, NC",06,humid_warm,hard,0.148,0.0,3780,0.148,0.0,4,16559,2452.1,72.1
04197170,"Rock Creek, OH",04,humid_cold,hard,-0.3486,0.0,4320,-0.3486,0.0,4,16259,2021.2,69.7
05057200,"Baldhill Creek, ND",09,semiarid,hard,0.1117,0.0,4680,0.1117,0.0,4,15352,5196.5,61.7
08101000,"Cowhouse Creek, TX",12,semiarid,hard,-0.8253,0.0,3960,-0.8253,0.0,4,16667,2670.6,73.6
09378630,"Recapture Creek, UT",14,arid,hard,-0.0475,0.0,3060,-0.0468,0.0007,4,15014,3351.1,58.8
09508300,"Wet Bottom Creek, AZ",15,arid,hard,-0.0127,0.0,7560,-0.0127,0.0,4,14733,2641.6,59.0
10336660,"Blackwood Creek, CA",16,mountain,hard,-0.0246,0.0,10620,0.0041,0.0287,6,27486,5661.3,121.2
