basin_id,model,method,iters,best_nse,iter_at_best,cap_binding,cum_wall_at_best_s,cum_tok_at_best,cum_wall_s,cum_tok
03439000,gr4j,B,30,-0.3200,27,N,398.9,56453,438.9,62454
03439000,gr4j,C,15,-0.6409,15,Y,281.2,29130,281.2,29130
03439000,gr4j,D,15,-0.2718,8,N,1721.6,15995,3228.0,29991
03439000,xaj,B,30,-0.0151,30,Y,632.2,96418,632.2,96418
03439000,xaj,C,15,0.0132,7,N,1121.7,15289,2491.0,43487
03439000,xaj,D,15,0.1164,7,N,2877.3,21181,6165.7,45388
11532500,gr4j,B,30,0.5773,30,Y,307.7,49541,307.7,49541
11532500,gr4j,C,15,0.5424,5,N,90.9,8444,258.7,26682
11532500,gr4j,D,15,0.7615,2,N,326.2,4086,2446.4,30651
11532500,xaj,B,30,0.5632,29,N,404.9,77504,417.1,80117
11532500,xaj,C,15,0.5603,8,N,1278.6,18902,2365.6,35610
11532500,xaj,D,15,0.5848,1,N,362.6,3418,5438.8,51276
12025000,gr4j,B,30,0.2930,21,N,236.3,33991,322.1,48697
12025000,gr4j,C,15,0.4979,15,Y,240.8,26081,240.8,26081
12025000,gr4j,D,2,0.7843,1,N,170.5,2210,340.9,4420
12025000,xaj,B,30,0.6296,24,N,334.3,63713,404.6,78764
12025000,xaj,C,15,0.5180,7,N,1146.1,17045,2415.4,36526
12025000,xaj,D,15,0.7830,14,N,4197.9,45222,4497.7,48453
