task_id,task_name,condition_id,condition_name,n_runs,task_success_rate,tool_route_success_rate,first_tool_accuracy,forbidden_tool_rate,hallucination_rate,mean_llm_calls,mean_tool_calls,mean_total_tokens,mean_prompt_tokens,mean_completion_tokens,mean_cached_tokens,mean_wall_time_s,mean_tool_compute_time_s,mean_llm_decision_time_s,mean_knowledge_input_tokens_est,tokens_per_success
T1,standard_calibration,K0,plain_llm,5,0.0,0.0,0.0,0.0,0.2,1.0,0.0,826.6,91.0,735.6,0.0,11.488,0.0,11.488,0.0,
T1,standard_calibration,K1,tools_only,5,1.0,1.0,1.0,0.0,0.0,4.2,4.0,13127.8,11923.2,1204.6,10009.6,108.7412,95.9988,12.7424,0.0,13127.8
T1,standard_calibration,K2,full_knowledge,5,1.0,1.0,1.0,0.0,0.0,6.0,5.6,66348.6,64004.0,2344.6,59904.0,102.3524,74.975,27.3774,3151.4,66348.6
T2,model_comparison,K0,plain_llm,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,790.4,88.0,702.4,0.0,10.9526,0.0,10.9526,0.0,
T2,model_comparison,K1,tools_only,5,1.0,1.0,1.0,0.0,0.0,5.4,9.0,25154.8,22666.8,2488.0,18585.6,351.7666,327.1632,24.6034,0.0,25154.8
T2,model_comparison,K2,full_knowledge,5,1.0,1.0,1.0,0.0,0.0,10.4,16.4,158093.6,150891.4,7202.2,138009.6,563.6266,506.4036,57.223,3151.4,158093.6
T3,failure_diagnosis,K0,plain_llm,5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2834.2,192.0,2642.2,102.4,33.5538,0.0,33.5538,0.0,2834.2
T3,failure_diagnosis,K1,tools_only,5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4728.4,1938.0,2790.4,1920.0,32.581,0.0,32.581,0.0,4728.4
T3,failure_diagnosis,K2,full_knowledge,5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12415.0,9358.0,3057.0,9344.0,33.8186,0.0,33.8186,3152.0,12415.0
T4,calibration_knowledge,K0,plain_llm,5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1531.4,148.0,1383.4,102.4,15.7174,0.0,15.7174,0.0,
T4,calibration_knowledge,K1,tools_only,5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3549.2,1894.0,1655.2,1792.0,17.3174,0.0,17.3174,0.0,
T4,calibration_knowledge,K2,full_knowledge,5,0.6,1.0,1.0,0.0,0.0,1.0,0.0,11605.8,9314.0,2291.8,9190.4,23.1762,0.0,23.1762,3152.0,19343.0
